Device: USB-1408FS-Plus,,,,
Serial Number: 18FB9D0,,,,
Channel Count: 3,,,,
Sample Count: 31250,,,,
Start Time: 6/25/2018 1:33:59 PM,,,,
Sampling Interval: 0.0005,,,,
Time,Height (mm),SLS Voltag (V),Applied Vo (V),LS Resistance (ohms)
0.1615,0.898,5.937,11.804,323.6155787
0.162,0.898,5.939,11.801,324.0007165
0.1625,0.599,5.937,11.804,323.6155787
0.163,0.898,5.939,11.804,323.8349872
0.1635,0.898,5.937,11.801,323.7811392
0.164,0.898,5.937,11.804,323.6155787
0.1645,0.898,5.937,11.804,323.6155787
0.165,0.898,5.937,11.801,323.7811392
0.1655,0.898,5.937,11.804,323.6155787
0.166,0.898,5.937,11.804,323.6155787
0.1665,0.898,5.937,11.804,323.6155787
0.167,0.898,5.937,11.804,323.6155787
0.1675,0.898,5.937,11.804,323.6155787
0.168,1.497,5.937,11.801,323.7811392
0.1685,0.898,5.937,11.801,323.7811392
0.169,0.898,5.937,11.804,323.6155787
0.1695,0.898,5.937,11.801,323.7811392
0.17,1.198,5.939,11.804,323.8349872
0.1705,0.898,5.937,11.801,323.7811392
0.171,0.898,5.937,11.801,323.7811392
0.1715,0.898,5.937,11.804,323.6155787
0.172,1.198,5.939,11.804,323.8349872
0.1725,1.198,5.937,11.804,323.6155787
0.173,1.198,5.937,11.801,323.7811392
0.1735,0.898,5.937,11.801,323.7811392
0.174,1.198,5.937,11.804,323.6155787
0.1745,1.198,5.937,11.804,323.6155787
0.175,1.198,5.937,11.801,323.7811392
0.1755,0.898,5.939,11.801,324.0007165
0.176,1.198,5.939,11.804,323.8349872
0.1765,1.198,5.937,11.804,323.6155787
0.177,1.198,5.939,11.801,324.0007165
0.1775,1.198,5.937,11.801,323.7811392
0.178,0.898,5.937,11.804,323.6155787
0.1785,1.497,5.939,11.801,324.0007165
0.179,0.898,5.937,11.801,323.7811392
0.1795,0.898,5.937,11.804,323.6155787
0.18,1.497,5.937,11.801,323.7811392
0.1805,1.497,5.939,11.801,324.0007165
0.181,1.497,5.937,11.801,323.7811392
0.1815,1.198,5.937,11.801,323.7811392
0.182,1.497,5.934,11.801,323.4520539
0.1825,1.796,5.939,11.804,323.8349872
0.183,1.198,5.939,11.801,324.0007165
0.1835,1.198,5.937,11.804,323.6155787
